phase,mean_s,p50_s,p95_s,min_s,max_s,n
encode_s,0.12258097949999999,0.12258097949999999,0.134394035,0.110767924,0.134394035,8
generate_s,33.256504592,33.256504592,33.354594235,33.158414949,33.354594235,8
decode_s,0.000774223,0.000774223,0.00078265,0.000765796,0.00078265,8
total_s,33.3798597945,33.3798597945,33.466144809,33.29357478,33.466144809,8
