phase,mean_s,p50_s,p95_s,min_s,max_s,n
encode_s,0.06229519325,0.061745168499999996,0.08703528899999999,0.034363326,0.09132711,4
generate_s,3.86812906275,3.1023677505,7.192975740349999,1.454980717,7.812800033,4
decode_s,0.0006253615,0.0006222705,0.0007650281999999999,0.000470473,0.000786432,4
total_s,3.9310496175000003,3.1647351895,7.280485117099998,1.489814516,7.904913575,4
