phase,mean_s,p50_s,p95_s,min_s,max_s,n
encode_s,0.06371521425,0.060799921,0.08813821379999999,0.040463644,0.092797371,4
generate_s,3.85763461425,3.104291005,7.152844989249999,1.458870975,7.763085472,4
decode_s,0.0006241335,0.000597524,0.00073568265,0.000544202,0.000757284,4
total_s,3.921973962,3.1656884499999998,7.2414379650999985,1.499878821,7.856640127,4
