phase,mean_s,p50_s,p95_s,min_s,max_s,n
encode_s,0.1160541555,0.1160541555,0.116073413,0.116034898,0.116073413,8
generate_s,6.813609688,6.813609688,7.043613487,6.583605889,7.043613487,8
decode_s,0.0006934145,0.0006934145,0.000788268,0.000598561,0.000788268,8
total_s,6.930357258,6.930357258,7.160436653,6.700277863,7.160436653,8
